In,Out,Date,Time,Branch,Group,Security Gate
35,72,12/9/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
3,125,12/9/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
7,94,12/9/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,2,12/9/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,12/9/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
1,9,12/9/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
1,2,12/9/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,1,12/9/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
0,0,12/9/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,12/10/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,0,12/10/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
2,2,12/10/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,0,12/10/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
8,1,12/10/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,0,12/10/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
8,16,12/10/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
30,5,12/10/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,8,12/10/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
4,5,12/10/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
13,4,12/10/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
3,3,12/10/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
5,6,12/10/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
18,2,12/10/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,7,12/10/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
2,8,12/10/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
6,6,12/10/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
3,3,12/10/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
6,10,12/10/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
21,5,12/10/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,6,12/10/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
4,6,12/10/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
22,5,12/10/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
4,4,12/10/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
17,12,12/10/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
26,8,12/10/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,4,12/10/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
5,10,12/10/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
20,9,12/10/2022,2:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,4,12/10/2022,2:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
7,7,12/10/2022,2:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
38,18,12/10/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,8,12/10/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
10,8,12/10/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
24,11,12/10/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,7,12/10/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
9,20,12/10/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
32,21,12/10/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
3,18,12/10/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
7,15,12/10/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
10,4,12/10/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,5,12/10/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
7,18,12/10/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
20,12,12/10/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
2,9,12/10/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
3,20,12/10/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
9,5,12/10/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,25,12/10/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
9,23,12/10/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
10,24,12/10/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,26,12/10/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
2,35,12/10/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,3,12/10/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,3,12/10/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
0,0,12/10/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
2,3,12/10/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,1,12/10/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,0,12/11/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,12/11/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
0,1,12/11/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
3,1,12/11/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
23,7,12/11/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,5,12/11/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
10,4,12/11/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
26,0,12/11/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,0,12/11/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,1,12/11/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
5,2,12/11/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
10,4,12/11/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
12,3,12/11/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,7,12/11/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
17,4,12/11/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,1,12/11/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
3,1,12/11/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,1,12/11/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
7,3,12/11/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
10,2,12/11/2022,2:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,3,12/11/2022,2:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
13,9,12/11/2022,2:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
15,2,12/11/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,6,12/11/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
4,5,12/11/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,1,12/11/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
7,3,12/11/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
3,5,12/11/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,12/11/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
2,7,12/11/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
8,6,12/11/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,5,12/11/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
2,6,12/11/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,3,12/11/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
7,1,12/11/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
6,2,12/11/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,2,12/11/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
8,9,12/11/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
22,8,12/11/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,6,12/11/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,7,12/11/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,1,12/11/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
2,7,12/11/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
13,5,12/11/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,5,12/11/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
9,13,12/11/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
14,5,12/11/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,11,12/11/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
2,19,12/11/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,12/11/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
3,1,12/11/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
5,2,12/11/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,3,12/11/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
4,8,12/11/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
5,4,12/11/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,5,12/11/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,4,12/11/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,2,12/11/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
7,7,12/11/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,6,12/11/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,4,12/11/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
3,12,12/11/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
4,8,12/11/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,16,12/11/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,8,12/11/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,2,12/11/2022,7:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
2,12,12/11/2022,7:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,3,12/11/2022,8:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,3,12/11/2022,8:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
0,5,12/11/2022,8:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
0,1,12/11/2022,8:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,1,12/11/2022,8:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,3,12/11/2022,8:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
0,5,12/11/2022,8:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
0,1,12/12/2022,4:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,0,12/12/2022,4:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,12/12/2022,4:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
0,1,12/12/2022,5:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,0,12/12/2022,5:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
1,3,12/12/2022,5:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,0,12/12/2022,5:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
8,7,12/12/2022,6:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
8,12,12/12/2022,6:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
5,4,12/12/2022,6:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
10,6,12/12/2022,7:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
9,6,12/12/2022,7:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
9,4,12/12/2022,7:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
15,1,12/12/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,0,12/12/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
3,1,12/12/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,12/12/2022,7:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
1,1,12/12/2022,7:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
7,3,12/12/2022,8:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,12/12/2022,8:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
2,4,12/12/2022,8:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
24,1,12/12/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
9,0,12/12/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
5,1,12/12/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
8,5,12/12/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
8,2,12/12/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,2,12/12/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,5,12/12/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,1,12/12/2022,9:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
6,6,12/12/2022,9:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
8,2,12/12/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,2,12/12/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
7,7,12/12/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
19,7,12/12/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,2,12/12/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
8,6,12/12/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
3,2,12/12/2022,10:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
13,5,12/12/2022,10:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
8,5,12/12/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,3,12/12/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
11,15,12/12/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
31,5,12/12/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,14,12/12/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
4,10,12/12/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
3,2,12/12/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
9,7,12/12/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
15,5,12/12/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,5,12/12/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
7,10,12/12/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
26,5,12/12/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
4,11,12/12/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
16,13,12/12/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
3,8,12/12/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
16,6,12/12/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
14,8,12/12/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,7,12/12/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
17,19,12/12/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
48,19,12/12/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
4,9,12/12/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
9,18,12/12/2022,1:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,2,12/12/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
11,7,12/12/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
12,3,12/12/2022,2:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,4,12/12/2022,2:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
10,14,12/12/2022,2:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
33,10,12/12/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,11,12/12/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
9,9,12/12/2022,2:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,4,12/12/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
11,7,12/12/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
19,7,12/12/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,16,12/12/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
7,18,12/12/2022,3:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
28,8,12/12/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,22,12/12/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
4,13,12/12/2022,3:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
3,3,12/12/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
10,6,12/12/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
13,4,12/12/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,7,12/12/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
13,11,12/12/2022,4:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
27,18,12/12/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
4,25,12/12/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
7,21,12/12/2022,4:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
6,5,12/12/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
8,16,12/12/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
9,4,12/12/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,8,12/12/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
6,10,12/12/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
15,12,12/12/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,16,12/12/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
2,15,12/12/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,8,12/12/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
1,20,12/12/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
2,3,12/12/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,10,12/12/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
5,12,12/12/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
4,9,12/12/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,5,12/12/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
5,17,12/12/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,12/12/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
1,0,12/12/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
4,9,12/12/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,6,12/12/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
1,14,12/12/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
6,10,12/12/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,19,12/12/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,10,12/12/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,2,12/12/2022,8:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,2,12/12/2022,8:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
1,6,12/12/2022,8:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
0,0,12/13/2022,4:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,12/13/2022,4:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,12/13/2022,4:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
